polygon_id,cp7,n_door_points,mean_assignment_confidence,mean_door_building_distance_m,n_cp7_on_building,building_area_m2,split_method,building_postal_fragment_area_m2,polygon_method,geometry,consumo_anual_estimado_kWh
100024,3800-200,1,0.7,0.0,1,99.08084235408042,whole_building_single_cp7,99.08084235408042,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44096.20250995684 108224.5658389866, -44089.55657808425 108223.4249727244, -44089.8675073033 108221.7909785881, -44091.8370591776 108211.4450156864, -44092.04699726907 108209.9890221759, -44099.11883233019 108208.888896371, -44096.71437965807 108221.5308511008, -44096.20250995684 108224.5658389866)))",5686.403213851003
100032,3810-086,1,0.7,0.0,1,373.2992171838598,whole_building_single_cp7,373.2992171838598,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44021.2936212851 108095.9651873714, -44029.11908911913 108110.880930338, -44028.41511542926 108111.2399411188, -44016.35056652557 108117.3931257783, -44016.06757713763 108117.5381301024, -44009.00284144865 108121.1412381586, -44002.11309913215 108124.6503435211, -44001.0601387539 108125.1923595772, -43999.32403285131 108121.8334170142, -43998.03595422729 108119.3404596425, -43996.11702300977 108120.2434895264, -43995.21896882831 108118.5215191371, -43993.09984096411 108114.4585890189, -43990.28167079063 108109.0536819946, -43996.61343611202 108105.8785847384, -43997.76050633013 108108.102546728, -43999.996422191 108106.9495126106, -44005.26976589477 108117.6973341439, -44019.74022267389 108110.2671130955, -44014.25788576794 108099.5942948702, -44021.2936212851 108095.9651873714)))",21424.221049074928
100039,3800-176,1,0.9,0.0,1,20.81964669605372,whole_building_single_cp7,20.81964669605372,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43378.75883212337 108515.0181799609, -43381.11270273973 108512.2371514847, -43385.09085233337 108516.226030154, -43382.05598445802 108518.9930737621, -43378.75883212337 108515.0181799609)))",1194.8718144785405
10004,3800-302,1,0.7,6.419874463033941,1,155.7681997367445,whole_building_single_cp7,155.7681997367445,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-40290.94316798466 110059.5389384153, -40290.06174107534 110051.0261019624, -40294.53573760774 110050.5640107144, -40296.57673595974 110050.3519691124, -40296.5126875091 110049.3829869295, -40297.1826848078 110049.2699740097, -40297.41168391529 110049.2319695814, -40297.46163521262 110048.247985131, -40299.92463160518 110047.9599354787, -40299.92869680952 110049.2709131938, -40301.75769263634 110049.0268768311, -40306.16466738971 110048.5707880427, -40306.68166419462 110048.516777645, -40307.63211932707 110057.6946015025, -40299.99815580767 110058.4957554823, -40299.43319798342 110059.3937527965, -40297.40219952384 110059.6037942319, -40296.26015753264 110058.8598321214, -40290.94316798466 110059.5389384153)))",8939.778574281881
10005,3800-041,1,0.7,5.8786062439322055,1,176.25512485095322,whole_building_single_cp7,176.25512485095322,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41381.12162040008 110997.5149396818, -41377.46057389873 110996.3390372124, -41373.09952291504 110995.0351518046, -41373.39548738969 110994.2661580533, -41370.01644790811 110993.2562468312, -41373.41792395862 110981.8743602454, -41374.50593670122 110982.2003316497, -41375.27181880252 110979.6393571604, -41385.54593879724 110982.7100872514, -41381.51355368027 110996.0639550348, -41381.12162040008 110997.5149396818)))",10115.554981138032
100058,3800-159,2,0.9,0.0,1,443.8252155913666,whole_building_single_cp7,443.8252155913666,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43939.66647116514 108181.98710859, -43942.74239206725 108181.3260552028, -43942.57836408199 108180.5640639035, -43953.78507600639 108178.1558693466, -43960.20617232663 108208.0335289393, -43946.75653448455 108211.3087591966, -43945.87539035843 108207.3668047795, -43945.15440894168 108207.5218172725, -43939.66647116514 108181.98710859)))",25471.81748120176
100061,3800-127,1,0.9,0.0,1,378.77654881461524,whole_building_single_cp7,378.77654881461524,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43531.29013264384 108564.8473510863, -43507.40341556623 108568.9288228946, -43504.98987490855 108554.9270526756, -43504.76282423463 108553.6150742332, -43528.01254195692 108549.4956106855, -43528.6755336937 108549.377597071, -43528.83457212767 108550.3175860125, -43531.29013264384 108564.8473510863)))",21738.57360652644
100068,3800-161,2,0.9,1.9976609420534495,1,185.85790485688372,whole_building_single_cp7,185.85790485688372,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43414.1066381738 108348.8187872645, -43401.34482967016 108352.0890467306, -43397.76225304762 108338.1102444903, -43407.12211310541 108335.7120538963, -43407.42216142349 108336.8840373382, -43410.82411057525 108336.011968051, -43414.1066381738 108348.8187872645)))",10666.673419276527
10007,3800-327,2,0.7,3.6622399771814473,1,286.4474213186216,whole_building_single_cp7,286.4474213186216,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41507.91421472861 110460.4199112354, -41504.88122477909 110460.5289748658, -41489.58727549212 110461.0792957138, -41486.92228433976 110461.1753516171, -41486.83316633032 110458.7103929907, -41486.52475594647 110450.1385368351, -41486.48970969902 110449.1725530533, -41491.32969373436 110448.998451473, -41491.27563257124 110447.7204730884, -41491.24659820647 110447.0024852028, -41493.76158874134 110446.8874328074, -41493.9325068147 110445.1834563853, -41501.51948312097 110444.9372966976, -41501.27456936072 110446.7292733191, -41502.01256455951 110446.6532586205, -41502.01259186788 110447.223249504, -41502.06466020028 110448.6512255418, -41506.74964477572 110448.4831272043, -41507.48264232827 110448.4561118291, -41507.51468462221 110449.3400970047, -41507.83110440248 110458.1139498957, -41507.91421472861 110460.4199112354)))",16439.66178007026
100070,3800-248,3,0.6999999999999998,0.5448051128326317,1,124.08619221421307,whole_building_single_cp7,124.08619221421307,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43324.88400487788 108708.8440027633, -43324.13593412772 108706.9850430864, -43318.67841722527 108693.4153375342, -43325.150272879 108690.7662318001, -43331.79278634894 108704.4309106296, -43329.87089477291 108706.8389209518, -43324.88400487788 108708.8440027633)))",7121.499024804929
100071,3800-127,1,0.9,0.0,1,270.3800639394761,whole_building_single_cp7,270.3800639394761,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43442.55109686019 108577.6991313582, -43426.5066121311 108588.5363438626, -43418.89818529887 108576.8526598088, -43428.42087111384 108570.2085363572, -43432.33274224891 108567.479485566, -43434.50967057047 108565.9604572898, -43442.55109686019 108577.6991313582)))",15517.531220134591
100073,3800-246,2,0.7,0.0,1,300.9776529228385,whole_building_single_cp7,300.9776529228385,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44218.24381032857 108259.531287204, -44206.24903460942 108259.9815101642, -44206.6054373749 108245.127608304, -44206.92889627541 108231.6696972007, -44218.37689791611 108236.6454459653, -44218.24381032857 108259.531287204)))",17273.5743077509
100074,3800-201,4,0.9,0.2564975957531506,1,427.1131428256594,whole_building_single_cp7,427.1131428256594,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-43993.7157372397 108261.1095086166, -43985.30367042119 108280.6755244337, -43966.80676157656 108275.0219140716, -43973.1078551184 108255.2359400038, -43993.7157372397 108261.1095086166)))",24512.685705298813
100083,3800-114,1,0.7,0.0,1,309.8199974981458,whole_building_single_cp7,309.8199974981458,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41855.0615604938 108960.3350099458, -41834.86480871902 108965.840382239, -41834.81779132541 108965.4743890661, -41832.94909839287 108950.8946609883, -41832.75702719356 108949.3966889317, -41849.2978235776 108944.8733840646, -41850.55299763297 108948.5262980873, -41854.18550170852 108959.107049158, -41854.57949759984 108959.0150416521, -41854.80852756951 108959.6440265581, -41855.0615604938 108960.3350099458)))",17781.050177115416
100088,3800-114,2,0.7,0.0,1,531.1521444964734,whole_building_single_cp7,531.1521444964734,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41948.66871446956 108920.0135138952, -41912.73589233982 108924.3052642395, -41911.50940570206 108914.0414530559, -41915.49138600489 108913.5653698924, -41915.04320803219 108909.8114389345, -41919.05018823835 108909.3323552346, -41940.13508434567 108906.814914701, -41939.92300016348 108905.0379473489, -41939.66289731414 108902.8669872568, -41947.26985987179 108901.957828294, -41948.22623895534 108909.961681266, -41947.84924043452 108909.998689268, -41948.66871446956 108920.0135138952)))",30483.645372280316
