Data/Hora;Código Postal;Energia ativa (kWh);Data;Hora;Código Postal 4 Dígitos;Código Postal 3 Dígitos
2024-02-20T22:00:00+00:00;3810-439;23.17555097006313;2024-02-20;22:00;3810;439
2024-02-28T16:00:00+00:00;3810-855;105.38785001542874;2024-02-28;16:00;3810;855
2024-02-27T21:00:00+00:00;3810-252;35.572;2024-02-27;21:00;3810;252
2024-02-25T04:00:00+00:00;3810-003;10.018;2024-02-25;04:00;3810;003
2024-02-10T15:00:00+00:00;3810-804;14.93384301911586;2024-02-10;15:00;3810;804
2024-02-11T15:00:00+00:00;3810-402;72.56651466053907;2024-02-11;15:00;3810;402
2024-02-22T08:00:00+00:00;3810-430;31.086000000000002;2024-02-22;08:00;3810;430
2024-02-21T12:00:00+00:00;3810-056;75.26440032668899;2024-02-21;12:00;3810;056
2024-02-25T03:00:00+00:00;3810-563;13.57;2024-02-25;03:00;3810;563
2024-02-07T15:00:00+00:00;3810-595;9.436725975233;2024-02-07;15:00;3810;595
2024-02-27T02:00:00+00:00;3810-854;14.582989340365197;2024-02-27;02:00;3810;854
2024-02-03T19:00:00+00:00;3810-882;44.66491412197885;2024-02-03;19:00;3810;882
2024-02-27T07:00:00+00:00;3810-840;21.4888594642388;2024-02-27;07:00;3810;840
2024-02-15T04:00:00+00:00;3810-416;194.86399999999998;2024-02-15;04:00;3810;416
2024-02-09T23:00:00+00:00;3810-808;25.703375781820228;2024-02-09;23:00;3810;808
2024-02-17T10:00:00+00:00;3810-607;69.934;2024-02-17;10:00;3810;607
2024-02-18T15:00:00+00:00;3810-437;25.248;2024-02-18;15:00;3810;437
2024-02-05T09:00:00+00:00;3810-082;119.35601739528371;2024-02-05;09:00;3810;082
2024-02-07T17:00:00+00:00;3810-056;85.7295448651847;2024-02-07;17:00;3810;056
2024-02-28T17:00:00+00:00;3810-550;96.50355234830083;2024-02-28;17:00;3810;550
2024-02-16T14:00:00+00:00;3810-064;356.07930643243196;2024-02-16;14:00;3810;064
2024-02-25T18:00:00+00:00;3810-157;106.75461210080624;2024-02-25;18:00;3810;157
2024-02-11T08:00:00+00:00;3810-554;29.318814655296308;2024-02-11;08:00;3810;554
2024-02-25T01:00:00+00:00;3810-295;9.370000000000001;2024-02-25;01:00;3810;295
2024-02-08T00:00:00+00:00;3810-040;34.75488499658579;2024-02-08;00:00;3810;040
2024-02-05T20:00:00+00:00;3810-466;49.308;2024-02-05;20:00;3810;466
2024-02-17T23:00:00+00:00;3810-481;37.001999999999995;2024-02-17;23:00;3810;481
2024-02-10T13:00:00+00:00;3810-007;26.723999999999997;2024-02-10;13:00;3810;007
2024-02-22T17:00:00+00:00;3810-779;20.682741614042527;2024-02-22;17:00;3810;779
2024-02-19T01:00:00+00:00;3810-089;168.96177452218055;2024-02-19;01:00;3810;089
2024-02-12T07:00:00+00:00;3810-728;91.87788120575846;2024-02-12;07:00;3810;728
2024-02-15T17:00:00+00:00;3810-488;64.572;2024-02-15;17:00;3810;488
2024-02-20T18:00:00+00:00;3810-229;37.564;2024-02-20;18:00;3810;229
2024-02-22T18:00:00+00:00;3810-181;21.02772272853079;2024-02-22;18:00;3810;181
2024-02-27T20:00:00+00:00;3810-138;170.9712254969685;2024-02-27;20:00;3810;138
2024-02-07T01:00:00+00:00;3810-139;18.564;2024-02-07;01:00;3810;139
2024-02-11T17:00:00+00:00;3810-771;184.0593113644219;2024-02-11;17:00;3810;771
2024-02-12T05:00:00+00:00;3810-799;31.088154223758185;2024-02-12;05:00;3810;799
2024-02-08T21:00:00+00:00;3810-174;138.58377399826182;2024-02-08;21:00;3810;174
2024-02-18T01:00:00+00:00;3810-752;13.668;2024-02-18;01:00;3810;752
2024-02-23T20:00:00+00:00;3810-284;44.126;2024-02-23;20:00;3810;284
2024-02-03T21:00:00+00:00;3810-905;45.62985749559467;2024-02-03;21:00;3810;905
2024-02-11T05:00:00+00:00;3810-564;5.128;2024-02-11;05:00;3810;564
