ptd_id,zona
158,Aveiro (Gl贸ria e Vera Cruz)
278,Aveiro (Gl贸ria e Vera Cruz)
444,Aveiro (Gl贸ria e Vera Cruz)
169,Aveiro (Gl贸ria e Vera Cruz)
231,Aveiro (Gl贸ria e Vera Cruz)
332,Aveiro (Gl贸ria e Vera Cruz)
454,Esgueira
276,Aveiro (Gl贸ria e Vera Cruz)
46,Aveiro (Gl贸ria e Vera Cruz)
316,Aveiro (Gl贸ria e Vera Cruz)
358,Aveiro (Gl贸ria e Vera Cruz)
31,Aveiro (Gl贸ria e Vera Cruz)
390,Esgueira
51,Esgueira
76,Aveiro (Gl贸ria e Vera Cruz)
294,Esgueira
163,Esgueira
249,Esgueira
395,Esgueira
235,Esgueira
147,Esgueira
302,Esgueira
86,Esgueira
225,Esgueira
165,Esgueira
94,Cacia
388,Cacia
347,Cacia
148,Aveiro
4,Cacia
100,Cacia
196,Cacia
453,Requeixo
48,Aveiro
127,Aveiro
161,Cacia
222,Aveiro (Gl贸ria e Vera Cruz)
36,Cacia
215,Cacia
484,Aveiro (Gl贸ria e Vera Cruz)
489,Aveiro (Gl贸ria e Vera Cruz)
496,Cacia
256,Aveiro (Gl贸ria e Vera Cruz)
430,Aveiro (Gl贸ria e Vera Cruz)
25,Aveiro (Gl贸ria e Vera Cruz)
198,Aveiro (Gl贸ria e Vera Cruz)
176,Aveiro (Gl贸ria e Vera Cruz)
393,Aveiro (Gl贸ria e Vera Cruz)
285,Cacia
449,Aveiro (Gl贸ria e Vera Cruz)
463,Aveiro (Gl贸ria e Vera Cruz)
159,Aveiro (Gl贸ria e Vera Cruz)
203,Cacia
446,Aveiro (Gl贸ria e Vera Cruz)
394,Cacia
17,Aveiro (Gl贸ria e Vera Cruz)
28,Aveiro (Gl贸ria e Vera Cruz)
239,Aveiro (Gl贸ria e Vera Cruz)
142,Aradas
440,Esgueira
365,Esgueira
368,Esgueira
57,Esgueira
11,Esgueira
202,Esgueira
191,Esgueira
134,Cacia
296,Cacia
258,Cacia
175,Cacia
391,Cacia
184,S茫o Bernardo
18,Esgueira
291,Esgueira
323,Esgueira
246,Aveiro (Gl贸ria e Vera Cruz)
30,Aveiro (Gl贸ria e Vera Cruz)
243,Aveiro (Gl贸ria e Vera Cruz)
